playlist_name,playlist_id,title,video_id,date,length,nview,nlike,ndislike
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Falstad Gameplay!,s3NQyrw-Pwo,2016.1.8,1052,8837,220,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Tychus Gameplay!,Sw0QmgIJrfg,2016.1.3,1020,13446,384,7
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Healing in Hero League!,VtX5meqUBTY,2015.12.28,1523,10596,316,2
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Kael'thas in Hero League!,YZnJiWNaUOw,2015.12.22,1412,13685,306,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Lunara Build - How To Lunara! (Gameplay),2BwSpYadVj4,2015.12.19,1786,16615,291,12
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Lunara Gameplay!,yNkM4qNOXag,2015.12.16,1471,18521,427,15
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Who Is Winning?!,KV3jzfJVLIc,2015.12.14,1683,19758,359,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Hero League Gameplay!,Z2PX2P-OLl0,2015.12.12,1444,11866,267,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: My Favourite Hero?,oDKvwMH-G0Q,2015.12.7,902,17001,381,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Cho'gall Gameplay! (4K),BC4qwnNIUhI,2015.11.18,953,21745,487,12
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: BIKINI STITCHES Wants To Play!,5UL58rAS8Go,2015.11.12,1242,11510,250,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Logical Decisions with Abathur!,DMq5L1LXwes,2015.11.9,1136,18897,362,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Tassadar Gameplay! (4K),zi8Nq6I_JCY,2015.10.26,1049,19151,283,15
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Artanis Bruiser Build - How-to Artanis! (Gameplay),KM1Hm6ih8gw,2015.10.24,1575,40513,421,16
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Artanis Gameplay! (4K),ymDrNeDbTsU,2015.10.21,922,22386,377,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Don't Run From The Healer!,KgNKARUvlRY,2015.10.15,1652,10039,299,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Tyrande Gameplay!,2dwP2MSw_1w,2015.10.12,1487,13401,230,11
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Lt. Morales Build - How-To Lt. Morales! (Gameplay),-1Kq_nE05tc,2015.10.8,1003,17329,357,8
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Nazeebo Gameplay!,SNmZQWRBDzM,2015.10.3,816,10726,207,8
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Lt. Morales Gameplay! (4K),vERnzW6Sm34,2015.9.29,897,33843,444,26
